postal_code,latitude,longitude
4700135,35.1537932,137.0279512
4700162,35.1092433,137.0217737
4700224,35.1049734,137.0722145
4750857,34.8938178,136.9273933
4750917,34.8975985,136.9142961
4770032,34.9873016,136.9145328
4810004,35.2511666,136.8762253
4910859,35.3027051,136.8013469
4970050,35.1366551,136.7848187
5008833,35.4133533,136.7591245
5013931,35.4678552,136.9269801
5014221,35.7525675,136.9654856
5032112,35.370294,136.5544641
5090125,35.3962025,136.9431526
5090203,35.4263835,137.0482651
5097204,35.4424049,137.3966282
5100833,34.9691297,136.6018595
5110068,35.0620088,136.6876274
5110255,35.0613879,136.5800488
5200027,35.0288605,135.8519681
5200241,35.1224983,135.9184778
5200832,34.9790093,135.9001454
5200837,34.9899448,135.8903069
5200861,34.9558729,135.9073913
5202323,35.047554,136.029649
5220222,35.2250977,136.2258855
5230892,35.1307976,136.0982363
5250050,35.0046766,135.9432288
5291644,35.01473,136.224701
5300001,34.7000861,135.4964271
5300002,34.6972327,135.4982407
5300013,34.7070987,135.4991128
5300047,34.6962712,135.5041768
5300055,34.7018479,135.5068788
5310041,34.7147271,135.511668
5330004,34.7517572,135.5356769
5330014,34.745277,135.5353298
5330022,34.7402529,135.5240454
5330023,34.7349015,135.5216605
5330031,34.7394837,135.5061748
5350003,34.7247889,135.5433517
5350031,34.7174691,135.5417036
5360002,34.7026919,135.5598523
5360004,34.6982996,135.5487888
5360024,34.6848389,135.54477
5370001,34.6779204,135.5585765
5370014,34.6692119,135.5413703
5380052,34.7035959,135.5717175
5400012,34.6848002,135.5172827
5410043,34.6895816,135.5041763
5420082,34.6700891,135.5071457
5430002,34.6655682,135.5168513
5430012,34.7152724,135.5346099
5430033,34.659583,135.5269509
5430051,34.6547194,135.5167978
5430056,34.6485525,135.5135691
5440015,34.6406183,135.551753
5440031,34.6631708,135.5379501
5450011,34.6243995,135.5157343
5450021,34.6312568,135.5143524
5450052,34.6452063,135.5124689
5460003,34.6299943,135.5391424
5460043,34.6231574,135.5313168
5460044,34.6303728,135.5258306
5470016,34.6066888,135.5689159
5470025,34.6061038,135.545484
5470026,34.6109428,135.5456898
5500003,34.7421255,135.4925644
5500012,34.6796195,135.4924628
5520007,34.6690066,135.4565384
5530003,34.6943086,135.4856666
5550031,34.7059173,135.4378798
5550032,34.7065481,135.4463097
5550034,34.7000325,135.4436566
5560011,34.6626379,135.5013775
5560012,34.6566053,135.499465
5580004,34.6088543,135.5132726
5580013,34.602032,135.5126873
5580014,34.6001237,135.5087409
5580023,34.5945075,135.5025001
5600021,34.7890782,135.4624399
5610853,34.7595805,135.4766526
5620014,34.8306302,135.4870722
5620031,34.8324263,135.5200916
5630033,34.8000878,135.4379381
5640002,34.7803262,135.5378989
5640044,34.7531299,135.5058559
5650803,34.7996735,135.5534029
5650842,34.7736394,135.5084582
5650873,34.8206038,135.5126348
5670021,34.8335917,135.5786153
5670828,34.8149479,135.5751671
5670829,34.8160923,135.5767738
5670845,34.8056703,135.5867458
5670887,34.8113474,135.5626805
5690007,34.8740483,135.659543
5690803,34.8512134,135.6214435
5691145,34.8358408,135.5889448
5730032,34.8163895,135.6505981
5730064,34.7996192,135.6295488
5730075,34.7838299,135.6528199
5731105,34.861905,135.683198
5770034,34.6649835,135.5886469
5770841,34.6637253,135.5638417
5780976,34.6992612,135.5970601
5798058,34.6604744,135.6398319
5800015,34.5673388,135.556097
5810056,34.6113566,135.589787
5810085,34.6179496,135.5963296
5810803,34.6314348,135.6054746
5810867,34.6298829,135.620238
5830875,34.5592516,135.5752742
5900004,34.5882099,135.4895601
5900505,34.3732418,135.2890772
5918037,34.5582405,135.4933739
5938327,34.5357242,135.4559081
5940031,34.4747886,135.4676006
5940073,34.4777876,135.4260392
5941151,34.4519971,135.4498952
5950024,34.4978079,135.4138988
5980092,34.3862095,135.2937637
5990204,34.3513177,135.2343122
5998253,34.5064996,135.5092166
5998273,34.5318824,135.4941137
6008216,34.9862113,135.7583244
6011351,34.948177,135.816935
6048365,35.0046953,135.7489203
6100101,34.8652018,135.7721607
6100111,34.8384389,135.7749574
6100121,34.8559542,135.7793957
6101102,34.9829622,135.6659386
6101142,34.9683061,135.6727163
6110011,34.9124347,135.8041245
6110041,34.9004955,135.7894874
6120846,34.9457716,135.7767779
6128141,34.9214873,135.7698318
6170002,34.9540531,135.7044482
6170003,34.9468206,135.7085588
6170814,34.933683,135.6887573
6170833,34.9183,135.7107838
6170843,34.912685,135.6893523
6190214,34.7318637,135.8207853
6250036,35.4763396,135.3945736
6290141,35.0697485,135.5318093
6310003,34.7228586,135.7497311
6310011,34.7196842,135.7714006
6310821,34.6951059,135.7850759
6330053,34.5022694,135.8460627
6340014,34.510556,135.814054
6360021,34.5731375,135.6944264
6360811,34.6060326,135.6989165
